!From http://rredc.nrel.gov/solar/spectra/am0/ASTM2000.html
!
!Wav(A) Flux(E-490 W/m^2/micron)
!--- --------
3005  428.000
3015  464.300
3025  498.300
3035  632.500
3045  614.000
3055  606.200
3065  566.400
3075  626.800
3085  623.200
3095  506.000
3105  634.300
3115  743.200
3125  668.500
3135  713.300
3145  675.600
3155  645.100
3165  645.300
3175  788.800
3185  677.600
3195  724.100
3205  820.600
3215  713.000
3225  701.800
3235  674.000
3245  775.400
3255  892.600
3265  998.300
3275  971.000
3285  935.200
3295 1081.000
3305 1036.000
3315  984.200
3325  973.200
3335  939.300
3345  977.300
3355  961.400
3365  825.000
3375  858.000
3385  939.200
3395  976.500
3405 1026.000
3415  941.500
3425 1012.000
3435  968.800
3445  810.900
3455  957.200
3465  944.100
3475  919.000
3485  914.400
3495  906.900
3505 1070.000
3515  998.300
3525  925.300
3535 1052.000
3545 1132.000
3555 1065.000
3565  929.800
3575  811.300
3585  706.900
3595 1010.000
3605  989.400
3615  895.000
3625 1017.000
3635 1016.000
3645 1033.000
3655 1174.000
3665 1256.000
3675 1203.000
3685 1122.000
3695 1249.000
3705 1161.000
3715 1197.000
3725 1074.000
3735  937.800
3745  917.600
3755 1082.000
3765 1106.000
3775 1306.000
3785 1353.000
3795 1087.000
3805 1225.000
3815 1103.000
3825  806.500
3835  697.200
3845  978.100
3855 1028.000
3865 1026.000
3875 1023.000
3885 1003.000
3895 1196.000
3905 1271.000
3915 1367.000
3925 1039.000
3935  593.400
3945 1046.000
3955 1339.000
3965  870.900
3975  946.600
3985 1552.000
3995 1695.000
4005 1714.000
4015 1780.000
4025 1793.000
4035 1716.000
4045 1706.000
4055 1699.000
4065 1619.000
4075 1659.000
4085 1768.000
4095 1747.000
4105 1561.000
4115 1849.000
4125 1820.000
4135 1786.000
4145 1766.000
4155 1763.000
4165 1874.000
4175 1693.000
4185 1713.000
4195 1730.000
4205 1788.000
4215 1828.000
4225 1609.000
4235 1740.000
4245 1798.000
4255 1724.000
4265 1727.000
4275 1596.000
4285 1614.000
4295 1501.000
4305 1155.000
4315 1715.000
4325 1674.000
4335 1760.000
4345 1698.000
4355 1752.000
4365 1962.000
4375 1837.000
4385 1594.000
4395 1857.000
4405 1742.000
4415 1964.000
4425 2014.000
4435 1942.000
4445 2007.000
4455 1853.000
4465 1924.000
4475 2112.000
4485 2007.000
4495 2062.000
4505 2180.000
4515 2145.000
4525 1974.000
4535 2004.000
4545 2013.000
4555 2069.000
4565 2112.000
4575 2136.000
4585 2005.000
4595 2043.000
4605 2075.000
4615 2090.000
4625 2140.000
4635 2075.000
4645 2010.000
4655 2077.000
4665 1954.000
4675 2049.000
4685 2028.000
4695 2024.000
4705 1909.000
4715 2052.000
4725 2076.000
4735 2025.000
4745 2086.000
4755 2050.000
4765 1990.000
4775 2110.000
4785 2043.000
4795 2111.000
4805 2070.000
4815 2126.000
4825 2058.000
4835 2053.000
4845 2003.000
4855 1862.000
4865 1653.000
4875 1862.000
4885 1947.000
4895 1994.000
4905 2041.000
4915 1929.000
4925 1929.000
4935 1921.000
4945 2093.000
4955 1959.000
4965 2051.000
4975 2052.000
4985 1898.000
4995 2004.000
5005 1889.000
5015 1843.000
5025 1927.000
5035 1967.000
5045 1901.000
5055 2027.000
5065 1995.000
5075 1939.000
5085 1952.000
5095 1949.000
5105 1980.000
5115 2031.000
5125 1899.000
5135 1893.000
5145 1906.000
5155 1933.000
5165 1697.000
5175 1755.000
5185 1682.000
5195 1860.000
5205 1863.000
5215 1939.000
5225 1855.000
5235 1927.000
5245 1992.000
5255 1963.000
5265 1702.000
5275 1860.000
5285 1930.000
5295 1951.000
5305 1986.000
5315 1997.000
5325 1801.000
5335 1956.000
5345 1890.000
5355 2024.000
5365 1903.000
5375 1914.000
5385 1937.000
5395 1864.000
5405 1800.000
5415 1913.000
5425 1857.000
5435 1911.000
5445 1911.000
5455 1934.000
5465 1911.000
5475 1865.000
5485 1895.000
5495 1928.000
5505 1894.000
5515 1903.000
5525 1878.000
5535 1914.000
5545 1931.000
5555 1930.000
5565 1853.000
5575 1878.000
5585 1818.000
5595 1839.000
5605 1875.000
5615 1856.000
5625 1882.000
5635 1893.000
5645 1886.000
5655 1829.000
5665 1861.000
5675 1920.000
5685 1841.000
5695 1892.000
5705 1800.000
5715 1855.000
5725 1925.000
5735 1908.000
5745 1899.000
5755 1862.000
5765 1878.000
5775 1889.000
5785 1814.000
5795 1860.000
5805 1870.000
5815 1885.000
5825 1905.000
5835 1889.000
5845 1892.000
5855 1814.000
5865 1862.000
5875 1880.000
5885 1780.000
5895 1640.000
5905 1844.000
5915 1818.000
5925 1839.000
5935 1827.000
5945 1804.000
5955 1813.000
5965 1836.000
5975 1811.000
5985 1788.000
5995 1805.000
6001 1786.000
6011 1762.000
6021 1740.000
6031 1784.000
6041 1797.000
6051 1791.000
6061 1772.000
6071 1776.000
6080 1751.000
6090 1740.000
6100 1728.000
6110 1740.000
6120 1730.000
6130 1720.000
6140 1685.000
6150 1712.000
6160 1661.000
6169 1644.000
6179 1700.000
6189 1699.000
6199 1715.000
6209 1727.000
6219 1698.000
6229 1697.000
6248 1664.000
6258 1662.000
6268 1709.000
6278 1715.000
6288 1712.000
6298 1685.000
6307 1682.000
6317 1649.000
6327 1684.000
6337 1662.000
6347 1673.000
6357 1668.000
6366 1663.000
6376 1688.000
6386 1682.000
6396 1645.000
6406 1633.000
6415 1626.000
6425 1642.000
6435 1635.000
6445 1637.000
6455 1621.000
6464 1622.000
6474 1633.000
6484 1634.000
6494 1570.000
6503 1630.000
6513 1645.000
6523 1618.000
6533 1605.000
6543 1589.000
6552 1537.000
6562 1303.000
6572 1456.000
6582 1567.000
6591 1563.000
6601 1580.000
6611 1585.000
6620 1597.000
6630 1569.000
6640 1558.000
6650 1575.000
6659 1567.000
6669 1555.000
6679 1554.000
6688 1569.000
6698 1554.000
6708 1551.000
6718 1541.000
6727 1537.000
6737 1533.000
6747 1530.000
6756 1527.000
6766 1523.000
6776 1520.000
6785 1518.000
6795 1515.000
6805 1513.000
6814 1510.000
6824 1508.000
6834 1506.000
6843 1504.000
6853 1503.000
6863 1501.000
6872 1500.000
6882 1499.000
6891 1506.000
6901 1512.000
6911 1506.000
6920 1495.000
6930 1495.000
6940 1498.000
6949 1480.000
6959 1489.000
6968 1489.000
6978 1457.000
6988 1494.000
6997 1486.000
7007 1462.000
7016 1455.000
7026 1462.000
7036 1468.000
7045 1482.000
7055 1472.000
7064 1452.000
7074 1455.000
7083 1442.000
7093 1426.000
7103 1440.000
7112 1416.000
7122 1408.000
7131 1408.000
7141 1413.000
7150 1398.000
7160 1403.000
7169 1407.000
7179 1400.000
7188 1376.000
7198 1388.000
7207 1385.000
7217 1386.000
7227 1383.000
7236 1389.000
7246 1384.000
7255 1372.000
7265 1375.000
7274 1374.000
7284 1347.000
7293 1332.000
7303 1364.000
7312 1358.000
7322 1360.000
7331 1351.000
7340 1364.000
7350 1348.000
7359 1335.000
7369 1337.000
7378 1333.000
7388 1292.000
7397 1309.000
7407 1295.000
7416 1286.000
7426 1307.000
7435 1324.000
7444 1309.000
7454 1324.000
7463 1316.000
7473 1322.000
7482 1320.000
7492 1297.000
7501 1299.000
7520 1285.000
7540 1285.000
7560 1280.000
7580 1271.000
7600 1257.000
7620 1260.000
7640 1243.000
7660 1239.000
7680 1224.000
7700 1215.000
7720 1206.000
7740 1205.000
7760 1186.000
7780 1207.000
7800 1212.000
7820 1206.000
7840 1207.000
7860 1202.000
7880 1191.000
7900 1174.000
7920 1149.000
7940 1166.000
7960 1161.000
7980 1152.000
8000 1143.000
8020 1139.000
8040 1137.000
8060 1130.000
8080 1110.000
8100 1095.000
8120 1091.000
8140 1110.000
8160 1080.000
8180 1076.000
8200 1069.000
8220 1053.000
8240 1072.000
8260 1068.000
8280 1060.000
8300 1033.000
8320 1047.000
8340 1028.000
8360 1019.000
8380 1038.000
8400 1017.000
8420 1020.000
8440  990.700
8460 1001.000
8480 1003.000
8500  967.000
8520  957.100
8540  867.900
8560  939.200
8580  984.800
8600  959.000
8620  975.900
8640  912.500
8660  878.800
8680  953.100
8700  951.100
8720  944.200
8740  947.100
8760  949.100
8780  925.300
8800  926.300
8820  914.500
8840  928.300
8860  913.500
8880  915.400
8900  911.500
8920  902.600
8940  905.500
8960  910.500
8980  885.700
9000  880.800
9020  882.700
9040  872.800
9060  872.800
9080  846.100
9100  857.000
9120  864.900
9140  857.000
9160  852.000
9180  853.000
9200  827.300
9220  820.300
9240  826.300
9260  831.200
9280  837.200
9300  832.200
9320  840.100
9340  827.300
9360  812.400
9380  820.300
9400  813.400
9420  798.500
9440  814.400
9460  809.400
9480  793.600
9500  795.600
